deploymentID,locationID,latitude,longitude,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,habitat,deploymentComments
1a_HLPXEM01030672,1a,34.0222110,-119.86293,,2024-1-24T15:30:00-08:00,,HLPXEM01030672,reconyx-hyperfire2,0,na,
1b_H500HG09193025,1b,34.0222110,-119.86293,,2024-1-24T15:30:00-08:00,,H500HG09193025,reconyx-hyperfire,0,,
2a_H500EE07133380,2a,34.0217839,-119.84630,,2024-1-24T15:30:00-08:00,,H500EE07133380,reconyx-hyperfire,0,,
2b_HLPXEM01030966,2b,34.0217839,-119.84630,,2024-1-24T15:30:00-08:00,,HLPXEM01030966,reconyx-hyperfire2,0,,
,3a,,,,2024-1-24T15:30:00-08:00,,,,0,,
,3b,,,,2024-1-24T15:30:00-08:00,,,,0,,
4a_P800HK04275262,4a,34.0197889,-119.79969,,2024-1-24T15:30:00-08:00,,P800HK04275262,reconyx-hyperfire,0,,"serial number might be wrong, 3/20/22 marked dfferent "
4b_P800HK06278667,4b,34.0197889,-119.79969,,2024-1-24T15:30:00-08:00,,P800HK06278667,reconyx-hyperfire,0,,
5a_P800HK06278624,5a,33.9919390,-119.71871,,2024-1-24T15:30:00-08:00,,P800HK06278624,reconyx-hyperfire,0,,
5b_HLPXEM01029445,5b,33.9919390,-119.71871,,2024-1-24T15:30:00-08:00,,HLPXEM01029445,reconyx-hyperfire2,,,
6a_P800HK06278766,6a,33.9983429,-119.68019,,2024-1-24T15:30:00-08:00,,P800HK06278766,reconyx-hyperfire,,,OLD
6a_HLPXGN06068419,6a,33.9983429,-119.68019,,2024-1-24T15:30:00-08:00,,HLPXGN06068419,reconyx-hyperfire2,,,
6b_H500HH06211894,6b,33.9983429,-119.68019,,2023-11-20T12:00:00-08:00,,H500HH06211894,reconyx-hyperfire,,,OLD
6b_H2RXHO05109530,6b,33.9983429,-119.68019,2023-11-20T12:00:00-08:00,2024-1-24T15:30:00-08:00,,H2RXHO05109530,reconyx-hyperfire2,,,
7a_P800HK06278643,7a,34.0117879,-119.65202,,2024-1-24T15:30:00-08:00,,P800HK06278643,reconyx-hyperfire,,,
7b_P800HK04275167,7b,34.0117879,-119.65202,,2024-1-24T15:30:00-08:00,,P800HK04275167,reconyx-hyperfire,,,
,8a,,,,2024-1-24T15:30:00-08:00,,,,,,
,8b,,,,2024-1-24T15:30:00-08:00,,,,,,
9a_H2RXDL05004404,9a,34.0028729,-119.70934,,2024-1-24T15:30:00-08:00,,H2RXDL05004404,reconyx-hyperfire2,,,
9b_H500FE12144668,9b,34.0028729,-119.70934,,2024-1-24T15:30:00-08:00,,H500FE12144668,reconyx-hyperfire,,,OLD
9b_HLPXGN06068437,9b,34.0028729,-119.70934,,2024-1-24T15:30:00-08:00,,HLPXGN06068437,reconyx-hyperfire2,,,"new camera might have been deployed ""2023-5-20T15:30:00-08:00"" i need to confirm datasheets"
10a_P800HK06278666,10a,34.0082780,-119.69944,,2024-1-24T15:30:00-08:00,,P800HK06278666,reconyx-hyperfire,,,OLD
10a_HLPXGN06068473,10a,34.0082780,-119.69944,2022-3-19T,2024-1-24T15:30:00-08:00,,HLPXGN06068473,reconyx-hyperfire2,,,
10b_H2RXDL05004396,10b,34.0082780,-119.69944,,2024-1-24T15:30:00-08:00,,H2RXDL05004396,reconyx-hyperfire2,,,
11a_H500FE12144911,11a,34.0043689,-119.77574,,2024-1-24T15:30:00-08:00,,H500FE12144911,reconyx-hyperfire,,,
11b_P800FF01146662,11b,34.0043689,-119.77574,,2024-1-24T15:30:00-08:00,,P800FF01146662,reconyx-hyperfire,,,
12a_P800HK04275332,12a,33.9895670,-119.74328,,2024-1-24T15:30:00-08:00,,P800HK04275332,reconyx-hyperfire,,,
12b_HLPXEM01030983,12b,33.9895670,-119.74328,,2024-1-24T15:30:00-08:00,,HLPXEM01030983,reconyx-hyperfire2,,,
