observationID,deploymentID,sequenceID,mediaID,timeStamp,observationType,cameraSetup,taxonID,scientificName,count,countNew,lifeStage,sex,behaviour,individualID,classificationMethod,classifiedBy
year_camLoc_camID_tripNum_img_00019_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00020_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00023_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00025_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00026_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00029_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00031_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00032_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00035_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00036_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00038_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00041_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00043_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00044_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00045_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00049_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00050_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00053_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00055_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00056_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00059_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
