observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,count,classificationMethod,classificationTimestamp,observationComments
2023_05_5A_1_obs_00001,5A_P800HK06278624,2023_05_5A_1_img_00001,2023_05_5A_1_evt_00001,2023-05-19T17:42:50-08:00,2023-05-19T17:42:50-08:00,media,Empty,NA,machine,2023-11-21 11:09:28.571309,comments
2023_05_5A_1_obs_00002,5A_P800HK06278624,2023_05_5A_1_img_00002,2023_05_5A_1_evt_00001,2023-05-19T17:42:55-08:00,2023-05-19T17:42:55-08:00,media,Empty,NA,machine,2023-11-21 10:36:19.604944,comments
2023_05_5A_1_obs_00003,5A_P800HK06278624,2023_05_5A_1_img_00003,2023_05_5A_1_evt_00001,2023-05-19T17:43:00-08:00,2023-05-19T17:43:00-08:00,media,Empty,NA,machine,2023-11-21 10:36:20.025210,comments
2023_05_5A_1_obs_00004,5A_P800HK06278624,2023_05_5A_1_img_00004,2023_05_5A_1_evt_00002,2023-05-19T17:43:16-08:00,2023-05-19T17:43:16-08:00,media,Empty,NA,machine,2023-11-21 10:36:20.447068,comments
2023_05_5A_1_obs_00005,5A_P800HK06278624,2023_05_5A_1_img_00005,2023_05_5A_1_evt_00002,2023-05-19T17:43:21-08:00,2023-05-19T17:43:21-08:00,media,Empty,NA,machine,2023-11-21 10:36:20.866031,comments
2023_05_5A_1_obs_00006,5A_P800HK06278624,2023_05_5A_1_img_00006,2023_05_5A_1_evt_00002,2023-05-19T17:43:26-08:00,2023-05-19T17:43:26-08:00,media,Empty,NA,machine,2023-11-21 10:36:21.286636,comments
2023_05_5A_1_obs_00007,5A_P800HK06278624,2023_05_5A_1_img_00008,2023_05_5A_1_evt_00003,2023-05-20T13:39:15-08:00,2023-05-20T13:39:15-08:00,media,Empty,NA,machine,2023-11-21 10:36:21.708078,comments
2023_05_5A_1_obs_00008,5A_P800HK06278624,2023_05_5A_1_img_00009,2023_05_5A_1_evt_00003,2023-05-20T13:39:20-08:00,2023-05-20T13:39:20-08:00,media,Empty,NA,machine,2023-11-21 10:36:22.131048,comments
2023_05_5A_1_obs_00009,5A_P800HK06278624,2023_05_5A_1_img_00010,2023_05_5A_1_evt_00003,2023-05-20T13:39:25-08:00,2023-05-20T13:39:25-08:00,media,Empty,NA,machine,2023-11-21 10:36:22.555769,comments
2023_05_5A_1_obs_00010,5A_P800HK06278624,2023_05_5A_1_img_00011,2023_05_5A_1_evt_00004,2023-05-20T14:05:39-08:00,2023-05-20T14:05:39-08:00,media,Empty,NA,machine,2023-11-21 10:19:46.463386,comments
2023_05_5A_1_obs_00011,5A_P800HK06278624,2023_05_5A_1_img_00012,2023_05_5A_1_evt_00004,2023-05-20T14:05:44-08:00,2023-05-20T14:05:44-08:00,media,Empty,NA,machine,2023-11-21 10:36:22.979079,comments
2023_05_5A_1_obs_00012,5A_P800HK06278624,2023_05_5A_1_img_00013,2023_05_5A_1_evt_00004,2023-05-20T14:05:49-08:00,2023-05-20T14:05:49-08:00,media,Empty,NA,machine,2023-11-21 10:36:23.406010,comments
2023_05_5A_1_obs_00013,5A_P800HK06278624,2023_05_5A_1_img_00014,2023_05_5A_1_evt_00005,2023-05-20T14:27:48-08:00,2023-05-20T14:27:48-08:00,media,Empty,NA,machine,2023-11-21 10:36:23.827745,comments
2023_05_5A_1_obs_00014,5A_P800HK06278624,2023_05_5A_1_img_00015,2023_05_5A_1_evt_00005,2023-05-20T14:27:53-08:00,2023-05-20T14:27:53-08:00,media,Empty,NA,machine,2023-11-21 10:19:46.904922,comments
2023_05_5A_1_obs_00015,5A_P800HK06278624,2023_05_5A_1_img_00016,2023_05_5A_1_evt_00005,2023-05-20T14:27:58-08:00,2023-05-20T14:27:58-08:00,media,Empty,NA,machine,2023-11-21 10:19:47.306095,comments
2023_05_5A_1_obs_00016,5A_P800HK06278624,2023_05_5A_1_img_00017,2023_05_5A_1_evt_00006,2023-05-21T11:25:52-08:00,2023-05-21T11:25:52-08:00,media,Empty,NA,machine,2023-11-21 10:36:24.251033,comments
2023_05_5A_1_obs_00017,5A_P800HK06278624,2023_05_5A_1_img_00018,2023_05_5A_1_evt_00006,2023-05-21T11:25:57-08:00,2023-05-21T11:25:57-08:00,media,Empty,NA,machine,2023-11-21 10:36:24.676637,comments
2023_05_5A_1_obs_00018,5A_P800HK06278624,2023_05_5A_1_img_00019,2023_05_5A_1_evt_00006,2023-05-21T11:26:02-08:00,2023-05-21T11:26:02-08:00,media,Empty,NA,machine,2023-11-21 10:19:47.731202,comments
